,YearsExperience,Salary,EducationLevel_大學,EducationLevel_碩士以上,City_城市A,City_城市B
0,3.0,45.9,1,0,1,0
1,7.8,80.5,0,1,0,0
2,2.3,25.2,0,0,1,0
3,5.1,30.4,0,0,1,0
4,10.0,65.7,0,1,0,1
5,1.2,60.8,0,1,0,0
6,8.6,50.1,1,0,0,0
7,6.9,70.3,0,1,1,0
8,4.2,40.7,1,0,1,0
9,2.4,28.1,0,0,1,0
10,5.3,32.0,0,0,1,0
11,3.9,48.3,1,0,1,0
12,7.2,84.2,0,1,0,0
13,10.0,70.9,0,1,0,1
14,1.5,62.4,0,1,0,0
15,8.4,55.6,1,0,0,0
16,6.5,72.7,0,1,1,0
17,4.8,42.9,1,0,1,0
18,2.1,26.5,0,0,1,0
19,5.2,31.6,0,0,1,0
20,3.5,43.8,1,0,1,0
21,7.6,78.3,0,1,0,0
22,10.0,63.6,0,1,0,1
23,1.8,58.0,0,1,0,0
24,8.2,48.3,1,0,0,0
25,6.3,68.4,0,1,1,0
26,4.6,38.5,1,0,1,0
27,2.5,24.9,0,0,1,0
28,5.0,29.7,0,0,1,0
29,3.6,41.6,1,0,1,0
30,7.4,76.9,0,1,0,0
31,10.0,60.2,0,1,0,1
32,1.7,56.3,0,1,0,0
33,8.0,45.2,1,0,0,0
34,6.1,65.9,0,1,1,0
35,4.3,36.7,1,0,1,0
